family,name_x,name_y,len_x,len_y,pid,bin,n_ref,sw_prec,sw_rec,sw_f1,sw_ms,dedal_prec,dedal_rec,dedal_f1,dedal_ms
PF01565,Q32CF7_SHIDS/51-190,Q7NFT8_GLOVI/37-175,140,139,0.3121,3,137,0.9701,0.9489,0.9594,26.2,0.9708,0.9708,0.9708,286.48
PF00085,Q38AE1_TRYB2/20-121,PDIA4_CAEEL/148-251,102,104,0.3905,3,101,0.9596,0.9406,0.95,14.62,0.9406,0.9406,0.9406,311.12
PF00072,NTRX_AZOC5/5-117,ALGB_PSEAE/11-121,113,111,0.3717,3,111,0.9717,0.9279,0.9493,17.91,1.0,1.0,1.0,352.28
PF00014,Q28874_CANLF/52-104,AMBP_BOVIN/286-338,53,53,0.434,3,53,1.0,0.9623,0.9808,4.33,1.0,0.9811,0.9905,474.32
PF00043,GSTA3_MOUSE/99-192,GSTA3_CHICK/99-192,94,94,0.4787,3,94,1.0,0.9787,0.9892,12.04,1.0,1.0,1.0,313.34
PF00043,GSTA2_MOUSE/99-192,GSTA3_CHICK/99-192,94,94,0.4681,3,94,0.8876,0.8404,0.8634,12.01,1.0,1.0,1.0,314.65
PF00105,VDR_HUMAN/22-91,NR2F6_HUMAN/54-123,70,70,0.5,3,70,1.0,0.9714,0.9855,7.46,1.0,0.9714,0.9855,337.3
PF00072,UVRY_ECOLI/4-116,ALGR_PSEAE/3-114,113,112,0.3158,3,111,0.9459,0.9459,0.9459,17.45,0.991,0.991,0.991,302.03
PF00105,U3JCD8_FICAL/50-119,NHR6_CAEEL/266-335,70,70,0.5286,3,68,0.9697,0.9412,0.9552,6.72,0.9697,0.9412,0.9552,288.55
PF00089,TRYP_PIG/9-224,CTRA_BOVIN/16-238,216,223,0.4159,3,213,0.8925,0.8967,0.8946,65.22,0.9159,0.9202,0.918,301.68
PF01565,YVDP_BACSU/33-169,Q8TH91_METAC/83-222,137,140,0.305,3,136,0.9407,0.9338,0.9373,25.78,0.9343,0.9412,0.9377,333.64
PF00041,TENA_HUMAN/1530-1614,TENA_CHICK/1046-1130,85,85,0.3176,3,85,1.0,1.0,1.0,9.67,1.0,1.0,1.0,332.53
PF00027,Q89HD2_BRADU/43-131,Q5SI13_THET8/19-107,89,89,0.3187,3,87,0.8816,0.7701,0.8221,10.86,0.8989,0.9195,0.9091,310.6
PF00018,BEM1_YEAST/161-209,NCF2_HUMAN/246-291,49,46,0.3061,3,46,0.8409,0.8043,0.8222,3.01,1.0,1.0,1.0,285.12
PF00046,BARX2_MOUSE/138-194,P5F13_XENTR/302-358,57,57,0.3158,3,57,1.0,0.9825,0.9912,4.37,1.0,1.0,1.0,295.45
PF00027,Q8F2D9_LEPIN/184-272,Y2565_MYCTU/42-126,89,85,0.3333,3,84,0.88,0.7857,0.8302,10.48,0.9157,0.9048,0.9102,318.22
PF00104,O16753_CAEEL/193-405,NHR90_CAEEL/158-372,213,215,0.3163,3,213,0.9848,0.9155,0.9489,75.66,0.9437,0.9437,0.9437,320.74
PF00104,NHR44_CAEEL/197-411,E3LHC6_CAERE/174-388,215,215,0.3116,3,215,0.9397,0.8698,0.9034,61.88,1.0,1.0,1.0,337.62
PF07686,CD8A_MOUSE/36-148,B8ZZZ4_HUMAN/26-134,113,109,0.4298,3,108,0.8854,0.787,0.8333,16.73,0.8,0.7407,0.7692,312.53
PF00027,Q6BWV4_DEBHA/149-232,O76977_STRPU/563-647,84,85,0.3218,3,82,0.9833,0.7195,0.831,9.63,0.9405,0.9634,0.9518,415.29
PF00089,THRB_BOVIN/367-616,TRYP_PIG/9-224,250,216,0.344,3,216,0.838,0.838,0.838,77.01,0.8704,0.8704,0.8704,343.65
PF00105,TLL_DROME/32-103,ERR1_HUMAN/77-146,72,70,0.4444,3,70,1.0,0.9714,0.9855,6.87,0.9714,0.9714,0.9714,292.24
PF00076,GBP2_YEAST/124-192,M4D5W2_BRACM/10-79,69,70,0.3143,3,68,0.9661,0.8382,0.8976,6.47,1.0,0.9853,0.9926,293.13
PF00105,RARA_HUMAN/86-155,NR2C1_HUMAN/111-180,70,70,0.6429,3,70,1.0,0.9714,0.9855,6.63,1.0,0.9857,0.9928,294.35
PF00013,Q23DM7_TETTS/176-241,B3RP85_TRIAD/112-178,66,67,0.3478,3,64,0.9322,0.8594,0.8943,5.96,0.8308,0.8438,0.8372,316.48
PF00104,E3NMP5_CAERE/614-826,A8WQ80_CAEBR/121-338,213,218,0.3394,3,213,0.9153,0.8122,0.8607,62.26,0.9155,0.9155,0.9155,292.45
PF00041,FINC_BOVIN/909-993,FINC_BOVIN/1635-1719,85,85,0.3085,3,76,0.775,0.8158,0.7949,10.69,0.7882,0.8816,0.8323,458.3
PF01565,Q9KB02_HALH5/48-187,Q9HKQ4_THEAC/37-176,140,140,0.35,3,140,0.9137,0.9071,0.9104,28.41,1.0,1.0,1.0,340.87
PF00013,A0BMW1_PARTE/107-172,A6X8Z3_MOUSE/201-268,66,68,0.3143,3,64,0.6552,0.5938,0.623,5.92,0.8308,0.8438,0.8372,297.47
PF00043,GSTF1_MAIZE/110-201,GSTF1_WHEAT/111-210,92,100,0.46,3,92,0.8261,0.8261,0.8261,12.71,0.8261,0.8261,0.8261,409.33
PF00085,THIO1_SYNE7/3-105,A6WX34_BRUA4/2-104,103,103,0.534,3,103,1.0,0.9223,0.9596,15.61,1.0,1.0,1.0,383.24
PF00089,CFAD_HUMAN/26-248,TRYI_DROME/28-245,223,218,0.304,3,214,0.8796,0.8879,0.8837,64.48,0.912,0.9206,0.9163,487.93
PF01565,Q9KB02_HALH5/48-187,Q8KEW7_CHLTE/25-165,140,141,0.3217,3,138,0.8421,0.8116,0.8266,28.53,0.9343,0.9275,0.9309,439.48
PF00105,NR2F6_HUMAN/54-123,STF1_BOVIN/11-80,70,70,0.5286,3,70,1.0,0.9571,0.9781,6.89,1.0,0.9571,0.9781,502.45
PF00027,Q9A6C3_CAUVC/45-133,A4VHY5_STUS1/34-123,89,90,0.3297,3,88,0.9639,0.9091,0.9357,10.93,0.8621,0.8523,0.8571,476.94
PF00595,DEGPL_BARHE/289-378,DEGP_ECOLI/279-368,90,90,0.3516,3,89,0.8977,0.8876,0.8927,12.09,0.8989,0.8989,0.8989,453.79
PF01565,CKX11_ORYSJ/45-187,Q8YZY0_NOSS1/35-172,143,138,0.3077,3,138,0.7852,0.7681,0.7766,28.59,0.7591,0.7536,0.7564,443.08
